"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/10/30 12:58:30 PM GMT+8","Male","SPM 2020","Selangor","Private School","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Technology & Computing Subjects","Mathematical Subjects","Ambivert","Helping and communicating with people;Organizing, planning, or managing","Persuasive;Observant;Resiliant","","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","Yes","4","Study hard"
"2025/10/30 9:28:40 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Accountancy & Commerce Subjects","Ambivert","Helping and communicating with people;Experimenting and researching;Writing or storytelling","Outgoing;Observant;Compassionate","4","Diploma","Media & Communication","Personal interest & Passion;Job opportunities;Salary potential","No","5","your current major won't dictate your future choice of major"
"2025/10/30 11:09:41 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems;Helping and communicating with people","Outgoing;Strategic;Observant","3","Diploma","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;Salary potential","Yes","5","Choose a course you enjoy and are good at. Think about future jobs and skills you can use anywhere. Ask seniors or teachers for advice. Pick something practical but still matches your interest."
"2025/10/30 11:17:34 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Accountancy & Commerce Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Introvert","Solving logical or mathematical problems;Writing or storytelling","Outgoing;Observant;Compassionate;Reserved","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","5","trust your gut"
"2025/10/30 11:43:56 PM GMT+8","Male","SPM 2019 or earlier","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Creating or designing things;Writing or storytelling","Creative;Analytical;Observant;Reserved","3","Diploma","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","4","Choose a major that suits your interests while it could also benefit you in long term "
"2025/10/30 11:47:34 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Accountancy & Commerce Subjects","Extrovert","Solving logical or mathematical problems;Helping and communicating with people;Writing or storytelling;Analysing and interpreting data","Adventurous;Analytical","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","University / Scolarship offer","Yes","4","do research before entering any field"
"2025/10/31 12:25:14 AM GMT+8","Female","SPM 2022","Melaka","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Innovative","5","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","5","Follow your passion"
"2025/10/31 12:42:29 AM GMT+8","Male","SPM 2023","Negeri Sembilan","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Innovative;Reserved","2","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;Salary potential","Yes","5","think of what you want your future to look like"
"2025/10/31 12:44:43 AM GMT+8","Male","SPM 2024","Pahang","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Organizing, planning, or managing","Adventurous;Strategic;Innovative","5","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","4","choose wisely "
"2025/10/31 12:46:46 AM GMT+8","Male","SPM 2024","Pulau Pinang","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Helping and communicating with people;Writing or storytelling","Creative;Persuasive;Compassionate","5","Foundation","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","listen to your heart"
"2025/10/31 12:49:05 AM GMT+8","Female","SPM 2023","Kuala Lumpur","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Accountancy & Commerce Subjects","Extrovert","Solving logical or mathematical problems;Helping and communicating with people","Adventurous;Outgoing;Persuasive","5","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","5","Do what you think that will be kind to you"
"2025/10/31 12:50:52 AM GMT+8","Female","SPM 2022","Melaka","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Accountancy & Commerce Subjects","Introvert","Creating or designing things;Writing or storytelling","Creative;Observant;Reserved","1","Diploma","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion","No","5","Dont listen to what others expect you to do"
"2025/10/31 12:53:03 AM GMT+8","Male","SPM 2020","Negeri Sembilan","Private School","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics)","Extrovert","Solving logical or mathematical problems;Analysing and interpreting data","Outgoing;Analytical;Persuasive","4","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","5","Ask yourself what you love"
"2025/10/31 12:54:49 AM GMT+8","Male","SPM 2023","Pahang","Public School (SMK / SMJKC)","Arts;Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Strategic","4","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Family expectation;Peers / Friends influence","No","4","spm subjects not matter for future studies"
"2025/10/31 12:57:09 AM GMT+8","Female","SPM 2023","Johor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Strategic;Compassionate","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Family expectation;Peers / Friends influence","No","1","Choosing the wrong path can affect ur whole life"
"2025/10/31 12:59:13 AM GMT+8","Female","SPM 2023","Sabah","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Experimenting and researching","Persuasive;Observant;Reserved","4","Foundation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Job opportunities;Family expectation;Peers / Friends influence","Yes","2","Dont fall into friends interests"
"2025/10/31 1:06:00 AM GMT+8","Male","SPM 2023","Kedah","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technical & Engineering Subjects","Extrovert","Writing or storytelling;Analysing and interpreting data","Analytical;Strategic;Persuasive","5","Diploma","Law & Legal Studies","Personal interest & Passion;Salary potential","No","5","Follow your instincts "
"2025/10/31 1:16:25 AM GMT+8","Male","SPM 2023","Pulau Pinang","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Writing or storytelling","Persuasive;Observant;Resiliant","5","Diploma","Law & Legal Studies","Personal interest & Passion;Salary potential","No","5","ask urself what ur passionate in"
"2025/10/31 1:17:59 AM GMT+8","Male","SPM 2024","Johor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Helping and communicating with people;Writing or storytelling","Creative;Outgoing;Compassionate","4","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","1","follow what you rlly want"
"2025/10/31 1:19:29 AM GMT+8","Female","SPM 2024","Kuala Lumpur","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Helping and communicating with people;Organizing, planning, or managing","Creative;Observant;Compassionate","4","Diploma","Media & Communication","Personal interest & Passion;Job opportunities","No","4","Pick something you’ll enjoy studying for years, not just something that seems easy."
"2025/10/31 1:19:29 AM GMT+8","Female","SPM 2023","Pulau Pinang","Public School (SMK / SMJKC)","Arts","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Outgoing;Compassionate","5","Diploma","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","4","think of the life YOU want"
"2025/10/31 2:01:08 AM GMT+8","Female","SPM 2022","Selangor","Private School","Arts","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Ambivert","Creating or designing things;Helping and communicating with people","Observant;Compassionate;Reserved","3","Foundation","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","Choose your major based on your own interests and passion"
"2025/10/31 2:31:05 AM GMT+8","Female","SPM 2022","Sarawak","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Compassionate","2","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","4","chase ur dreamss"
"2025/10/31 2:33:34 AM GMT+8","Male","SPM 2023","Pahang","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Analysing and interpreting data","Adventurous;Outgoing;Analytical","4","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","4","choose what you are passionate about "
"2025/10/31 2:40:39 AM GMT+8","Female","SPM 2023","Perlis","Public School (SMK / SMJKC)","Arts","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Outgoing;Persuasive;Compassionate","5","Diploma","Law & Legal Studies","Personal interest & Passion;Job opportunities","No","4","do what you love"
"2025/10/31 2:46:27 AM GMT+8","Male","SPM 2023","Melaka","Private School","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","9+ As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Analysing and interpreting data","Outgoing;Analytical;Strategic","2","Diploma","Humanities & Social Sciences (Philosophy, Language etc)","Family expectation","Yes","1","don’t blindly follow others’ advice"
"2025/10/31 2:55:52 AM GMT+8","Female","SPM 2020","Pulau Pinang","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Compassionate","2","Diploma","Law & Legal Studies","Salary potential;Family expectation","No","2","choose based on your personal interests "
"2025/10/31 2:58:51 AM GMT+8","Male","SPM 2023","Melaka","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Sports Science","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Organizing, planning, or managing","Analytical;Strategic;Persuasive","2","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;Salary potential","No","5","do research on job market "
"2025/10/31 3:06:25 AM GMT+8","Male","SPM 2020","Perlis","Public School (SMK / SMJKC)","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Creating or designing things;Organizing, planning, or managing","Creative;Adventurous;Outgoing","4","Diploma","Media & Communication","Personal interest & Passion;Job opportunities","No","5","Think of the future yoy desire"
"2025/10/31 3:13:09 AM GMT+8","Male","SPM 2024","Sabah","Public School (SMK / SMJKC)","Islamic Studies;Sports Science","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Creative;Adventurous;Outgoing","5","Diploma","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion;Job opportunities","Yes","4","don’t rush in choosing "
"2025/10/31 8:55:03 AM GMT+8","Male","SPM 2024","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Arts","Pass (Lulus)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Technology & Computing Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Technology & Computing Subjects","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Reserved","1","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","4","Choose course which you have interest "
"2025/10/31 9:20:18 AM GMT+8","Female","SPM 2019 or earlier","Pahang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Introvert","Solving logical or mathematical problems;Helping and communicating with people","Outgoing;Persuasive;Compassionate","2","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","4","don't fuck it up"
"2025/10/31 10:50:16 AM GMT+8","Female","SPM 2022","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Helping and communicating with people","Adventurous;Outgoing","2","Foundation","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;Salary potential","No","5","Don’t ever follow your friends when it comes to choosing your major. Do what you think you can do"
"2025/10/31 1:37:13 PM GMT+8","Female","SPM 2021","Sarawak","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing;Analysing and interpreting data","Creative;Adventurous;Innovative","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Peers / Friends influence","No","4","Do your best, that’s just part of your life, result doesn’t mean everything! Don’t give up yourself "
"2025/10/31 1:52:59 PM GMT+8","Female","SPM 2024","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Technical & Engineering Subjects","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Creating or designing things;Organizing, planning, or managing","Adventurous;Outgoing;Analytical","3","Foundation","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion","Yes","4","Get information from professionals who are working and try to understand the different roles and responsibilities within a company in multiple industries. Try to find which role suits your personality / interest. This way you know which major to choose "
